n,k,r,h,source_sink_from_different_branches,astar_connected,astar_path_length,astar_time,bidirectional_bfs_connected,bidirectional_bfs_path_length,bidirectional_bfs_time
4,4,4,1,False,True,3,0.000031,True,3,0.000048
4,4,4,1,False,True,4,0.000101,True,4,0.000049
4,4,4,1,False,True,3,0.000035,True,3,0.000030
4,4,4,1,False,True,3,0.000031,True,3,0.000027
4,4,4,1,False,True,4,0.000078,True,4,0.000063
4,4,4,1,False,True,4,0.000061,True,4,0.000078
4,4,4,1,False,True,4,0.000086,True,4,0.000026
4,4,4,1,False,True,4,0.000092,True,4,0.000047
4,4,4,1,False,True,4,0.000085,True,4,0.000037
4,4,4,1,False,True,3,0.000032,True,3,0.000020
