n,k,r,h,source_sink_from_different_branches,astar_connected,astar_path_length,astar_time,bidirectional_bfs_connected,bidirectional_bfs_path_length,bidirectional_bfs_time
4,4,2,0,False,True,5,0.000184,True,5,0.000201
4,4,2,0,False,True,3,0.000057,True,4,0.000046
4,4,2,0,False,True,2,0.000021,True,2,0.000008
4,4,2,0,False,True,4,0.000123,True,4,0.000026
4,4,2,0,False,True,3,0.000038,True,3,0.000014
4,4,2,0,False,True,4,0.000086,True,4,0.000038
4,4,2,0,False,True,5,0.000104,True,6,0.000290
4,4,2,0,False,True,5,0.000120,True,6,0.000345
4,4,2,0,False,True,2,0.000020,True,2,0.000008
4,4,2,0,False,True,3,0.000049,True,3,0.000037
