n,k,r,h,source_sink_from_different_branches,astar_connected,astar_path_length,astar_time,bidirectional_bfs_connected,bidirectional_bfs_path_length,bidirectional_bfs_time
6,4,3,0,True,False,-1,0.046892,False,-1,0.034216
6,4,3,0,True,False,-1,0.048712,False,-1,0.034048
6,4,3,0,True,False,-1,0.046904,False,-1,0.034095
6,4,3,0,True,False,-1,0.058888,False,-1,0.034441
6,4,3,0,True,False,-1,0.048571,False,-1,0.033609
6,4,3,0,True,False,-1,0.047454,False,-1,0.033690
6,4,3,0,True,False,-1,0.048422,False,-1,0.044422
6,4,3,0,True,False,-1,0.048601,False,-1,0.034075
6,4,3,0,True,False,-1,0.047982,False,-1,0.034314
6,4,3,0,True,False,-1,0.046183,False,-1,0.034350
