n,k,r,source_sink_from_different_branches,uf_build_time,uf_connected,uf_connected_time,dfs_connected,dfs_path_length,dfs_time,bfs_connected,bfs_path_length,bfs_time,fffp_connected,fffp_path_length,fffp_time,used_bfs
7,3,5,False,0.028000,True,0.000002,True,1206,0.073403,True,4,0.007310,True,8,0.000012,False
7,3,5,False,0.028000,True,0.000002,True,1548,0.106027,True,5,0.011897,True,8,0.000008,False
7,3,5,False,0.028000,True,0.000001,True,870,0.045094,True,6,0.014288,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000002,True,1379,0.117760,True,5,0.011462,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1320,0.093028,True,5,0.008734,True,7,0.000007,False
7,3,5,False,0.028000,True,0.000002,True,1510,0.110849,True,4,0.007236,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1833,0.134193,True,6,0.014025,True,7,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,763,0.034479,True,5,0.010489,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000002,True,1313,0.118710,True,4,0.005312,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000002,True,1865,0.144605,True,5,0.011277,True,8,0.000006,False
7,3,5,False,0.028000,True,0.000001,True,1976,0.172109,True,5,0.009148,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000002,True,1482,0.090024,True,6,0.013722,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000002,True,1496,0.169652,True,5,0.008777,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,2056,0.211496,True,4,0.003703,True,7,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1372,0.100464,True,5,0.009314,True,7,0.000007,False
7,3,5,False,0.028000,True,0.000002,True,1206,0.060311,True,2,0.000228,True,8,0.000006,False
7,3,5,False,0.028000,True,0.000001,True,1253,0.066474,True,4,0.005230,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1784,0.208781,True,5,0.012663,True,7,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1994,0.184385,True,4,0.003664,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1222,0.076380,True,2,0.000232,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1224,0.082068,True,4,0.006659,True,8,0.000006,False
7,3,5,False,0.028000,True,0.000001,True,1486,0.108385,True,5,0.011795,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,406,0.008832,True,4,0.003028,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000002,True,1260,0.098784,True,4,0.007056,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000001,True,873,0.046437,True,4,0.006023,True,8,0.000006,False
7,3,5,False,0.028000,True,0.000002,True,1833,0.140285,True,4,0.006360,True,8,0.000005,False
7,3,5,False,0.028000,True,0.000001,True,2052,0.173903,True,4,0.007313,True,8,0.000006,False
7,3,5,False,0.028000,True,0.000002,True,1361,0.082460,True,5,0.010640,True,7,0.000007,False
7,3,5,False,0.028000,True,0.000002,True,1619,0.180595,True,3,0.001442,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000001,True,1363,0.104612,True,4,0.007812,True,8,0.000009,False
7,3,5,False,0.028000,True,0.000002,True,427,0.010463,True,4,0.004312,True,7,0.000007,False
7,3,5,False,0.028000,True,0.000002,True,797,0.029384,True,5,0.012836,True,8,0.000010,False
7,3,5,False,0.028000,True,0.000001,True,1427,0.114030,True,3,0.001130,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,774,0.033514,True,5,0.013506,True,8,0.000008,False
7,3,5,False,0.028000,True,0.000001,True,1518,0.106323,True,6,0.014528,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000001,True,1642,0.131542,True,4,0.005853,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,924,0.042938,True,5,0.008414,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000002,True,1484,0.098993,True,3,0.001206,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1290,0.077391,True,2,0.000214,True,8,0.000006,False
7,3,5,False,0.028000,True,0.000001,True,1617,0.135984,True,4,0.006427,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000002,True,1188,0.089169,True,5,0.009929,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1116,0.059897,True,4,0.002089,True,7,0.000005,False
7,3,5,False,0.028000,True,0.000001,True,1718,0.150198,True,5,0.009195,True,7,0.000005,False
7,3,5,False,0.028000,True,0.000001,True,1120,0.055054,True,3,0.001756,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1562,0.123011,True,5,0.009798,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000001,True,1197,0.124927,True,4,0.003692,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1430,0.109544,True,5,0.013282,True,7,0.000009,False
7,3,5,False,0.028000,True,0.000002,True,846,0.037482,True,5,0.012216,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1616,0.106311,True,5,0.009007,True,7,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1592,0.122496,True,5,0.008411,True,7,0.000005,False
7,3,5,False,0.028000,True,0.000001,True,1574,0.107156,True,5,0.011534,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1279,0.093556,True,5,0.008559,True,8,0.000006,False
7,3,5,False,0.028000,True,0.000001,True,1611,0.106973,True,4,0.005912,True,8,0.000007,False
7,3,5,False,0.028000,True,0.000001,True,1506,0.113387,True,5,0.011500,True,7,0.000005,False
7,3,5,False,0.028000,True,0.000001,True,1151,0.054549,True,3,0.001211,True,8,0.000008,False
7,3,5,False,0.028000,True,0.000002,True,1170,0.058136,True,4,0.004667,True,7,0.000006,False
7,3,5,False,0.028000,True,0.000001,True,697,0.020777,True,4,0.002889,True,7,0.000006,False
