n,k,r,source_sink_from_different_branches,uf_build_time,uf_connected,uf_connected_time,dfs_connected,dfs_path_length,dfs_time,bfs_connected,bfs_path_length,bfs_time,fffp_connected,fffp_path_length,fffp_time,used_bfs
5,5,4,False,0.024643,True,0.000001,True,2189,0.136455,True,7,0.012882,True,8,0.000012,False
5,5,4,False,0.024643,True,0.000002,True,2039,0.111368,True,6,0.007936,True,10,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,725,0.015962,True,4,0.002662,True,7,0.000005,False
5,5,4,False,0.024643,True,0.000002,True,1237,0.059321,True,7,0.011902,True,9,0.000007,False
5,5,4,False,0.024643,True,0.000002,True,1051,0.029070,True,7,0.012532,True,8,0.000005,False
5,5,4,False,0.024643,True,0.000002,True,2520,0.196069,True,5,0.003770,True,9,0.000008,False
5,5,4,False,0.024643,True,0.000002,True,2191,0.141070,True,7,0.013360,True,9,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,1037,0.029302,True,5,0.006103,True,10,0.000008,False
5,5,4,False,0.024643,True,0.000002,True,1459,0.074251,True,6,0.010664,True,10,0.000008,False
5,5,4,False,0.024643,True,0.000001,True,2100,0.185476,True,4,0.002137,True,8,0.000006,False
5,5,4,False,0.024643,True,0.000002,True,1794,0.104213,True,5,0.006844,True,8,0.000005,False
5,5,4,False,0.024643,True,0.000001,True,1569,0.089421,True,5,0.005397,True,9,0.000006,False
5,5,4,False,0.024643,True,0.000001,True,2348,0.168030,True,5,0.007297,True,9,0.000008,False
5,5,4,False,0.024643,True,0.000002,True,1587,0.092156,True,5,0.005313,True,8,0.000007,False
5,5,4,False,0.024643,True,0.000002,True,1014,0.036185,True,6,0.009089,True,9,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,1869,0.182942,True,7,0.013383,True,8,0.000007,False
5,5,4,False,0.024643,True,0.000002,True,1713,0.078700,True,4,0.002389,True,10,0.000008,False
5,5,4,False,0.024643,True,0.000002,True,1541,0.074885,True,6,0.010127,True,9,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,993,0.030794,True,5,0.005466,True,7,0.000005,False
5,5,4,False,0.024643,True,0.000001,True,1528,0.060182,True,6,0.009886,True,9,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,2412,0.248500,True,5,0.005483,True,10,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,898,0.022313,True,5,0.004157,True,7,0.000005,False
5,5,4,False,0.024643,True,0.000001,True,1862,0.138214,True,6,0.010649,True,10,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,1254,0.038702,True,7,0.011790,True,9,0.000008,False
5,5,4,False,0.024643,True,0.000001,True,647,0.013631,True,5,0.006598,True,9,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,1876,0.112409,True,5,0.005461,True,10,0.000009,False
5,5,4,False,0.024643,True,0.000002,True,1779,0.104252,True,6,0.009840,True,8,0.000006,False
5,5,4,False,0.024643,True,0.000001,True,1260,0.043606,True,6,0.010116,True,10,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,1402,0.049061,True,6,0.008715,True,10,0.000007,False
5,5,4,False,0.024643,True,0.000002,True,1817,0.096187,True,5,0.006855,True,10,0.000008,False
5,5,4,False,0.024643,True,0.000002,True,1292,0.085374,True,7,0.012678,True,8,0.000007,False
5,5,4,False,0.024643,True,0.000002,True,2532,0.196461,True,7,0.012511,True,8,0.000007,False
5,5,4,False,0.024643,True,0.000002,True,1772,0.091792,True,5,0.006162,True,10,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,2863,0.258339,True,6,0.007790,True,9,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,2521,0.172489,True,5,0.005324,True,9,0.000008,False
5,5,4,False,0.024643,True,0.000001,True,638,0.030492,True,6,0.008331,True,8,0.000006,False
5,5,4,False,0.024643,True,0.000002,True,1406,0.049381,True,4,0.002789,True,11,0.000007,False
5,5,4,False,0.024643,True,0.000001,True,654,0.012635,True,5,0.006654,True,9,0.000006,False
5,5,4,False,0.024643,True,0.000001,True,1881,0.102754,True,7,0.012778,True,9,0.000005,False
5,5,4,False,0.024643,True,0.000001,True,2963,0.252072,True,7,0.012657,True,9,0.000006,False
5,5,4,False,0.024643,True,0.000001,True,2703,0.253487,True,5,0.004155,True,11,0.000008,False
5,5,4,False,0.024643,True,0.000002,True,2787,0.247577,True,5,0.004644,True,10,0.000008,False
5,5,4,False,0.024643,True,0.000002,True,1851,0.098393,True,7,0.012120,True,9,0.000007,False
5,5,4,False,0.024643,True,0.000002,True,2691,0.226304,True,4,0.001648,True,10,0.000008,False
