n,k,r,source_sink_from_different_branches,uf_build_time,uf_connected,uf_connected_time,dfs_connected,dfs_path_length,dfs_time,bfs_connected,bfs_path_length,bfs_time,fffp_connected,fffp_path_length,fffp_time,used_bfs
6,4,3,False,0.043076,True,0.000002,True,3405,0.538616,True,4,0.003432,True,11,0.000015,False
6,4,3,False,0.043076,True,0.000002,True,3517,0.482895,True,6,0.015070,True,9,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,1148,0.058649,True,5,0.007762,True,10,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,3659,0.616130,True,4,0.002392,True,9,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,479,0.009601,True,4,0.004076,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,2722,0.326123,True,5,0.013817,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,2443,0.344286,True,5,0.011601,True,11,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,2187,0.197668,True,6,0.019038,True,9,0.000008,False
6,4,3,False,0.043076,True,0.000002,True,1551,0.093927,True,5,0.011405,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,1119,0.057472,True,5,0.013572,True,9,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,2832,0.379239,True,4,0.005393,True,12,0.000011,False
6,4,3,False,0.043076,True,0.000001,True,1901,0.165545,True,5,0.009753,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,2879,0.353057,True,6,0.014419,True,9,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,3111,0.396100,True,5,0.013725,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,694,0.038631,True,5,0.007741,True,8,0.000006,False
6,4,3,False,0.043076,True,0.000001,True,2114,0.184548,True,4,0.002826,True,12,0.000010,False
6,4,3,False,0.043076,True,0.000001,True,1130,0.043895,True,5,0.007609,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,1948,0.146512,True,5,0.010428,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,1755,0.140928,True,4,0.004929,True,9,0.000009,False
6,4,3,False,0.043076,True,0.000002,True,1488,0.112408,True,5,0.008628,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,3442,0.494957,True,4,0.003689,True,10,0.000008,False
6,4,3,False,0.043076,True,0.000002,True,2848,0.375639,True,6,0.021438,True,10,0.000011,False
6,4,3,False,0.043076,True,0.000002,True,1178,0.071666,True,5,0.029750,True,10,0.000009,False
6,4,3,False,0.043076,True,0.000001,True,2749,0.306643,True,6,0.015813,True,9,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,3722,0.596885,True,6,0.014113,True,7,0.000007,False
6,4,3,False,0.043076,True,0.000002,True,2223,0.265066,True,5,0.009694,True,11,0.000009,False
6,4,3,False,0.043076,True,0.000001,True,1784,0.141665,True,5,0.011878,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000002,True,3381,0.460112,True,5,0.010720,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000002,True,1917,0.156719,True,6,0.017654,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,3211,0.446539,True,6,0.021857,True,7,0.000008,False
6,4,3,False,0.043076,True,0.000003,True,1876,0.159789,True,5,0.011714,True,10,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,1832,0.131341,True,3,0.001326,True,12,0.000010,False
6,4,3,False,0.043076,True,0.000001,True,2932,0.422136,True,5,0.013589,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,2954,0.371322,True,6,0.014730,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,1401,0.082170,True,4,0.004009,True,7,0.000007,False
6,4,3,False,0.043076,True,0.000002,True,2584,0.648007,True,6,0.016639,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,3031,0.426031,True,6,0.015984,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000002,True,3444,0.492530,True,5,0.009387,True,10,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,2088,0.226395,True,6,0.017784,True,10,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,2406,0.230527,True,5,0.012760,True,10,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,584,0.013590,True,5,0.007776,True,8,0.000006,False
6,4,3,False,0.043076,True,0.000002,True,1134,0.058389,True,5,0.012349,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,2137,0.205800,True,5,0.009901,True,11,0.000009,False
6,4,3,False,0.043076,True,0.000001,True,3413,0.486309,True,5,0.011490,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000002,True,2224,0.191533,True,6,0.016509,True,10,0.000008,False
6,4,3,False,0.043076,True,0.000002,True,814,0.034803,True,6,0.016798,True,6,0.000005,False
6,4,3,False,0.043076,True,0.000001,True,3106,0.538164,True,6,0.018020,True,8,0.000006,False
6,4,3,False,0.043076,True,0.000001,True,1169,0.050515,True,5,0.013636,True,9,0.000006,False
6,4,3,False,0.043076,True,0.000001,True,3809,0.602578,True,4,0.003933,True,11,0.000010,False
6,4,3,False,0.043076,True,0.000002,True,2766,0.454148,True,3,0.001143,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,2449,0.246041,True,5,0.008118,True,11,0.000010,False
6,4,3,False,0.043076,True,0.000002,True,3714,0.563899,True,6,0.020237,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000002,True,2053,0.261222,True,4,0.006101,True,11,0.000012,False
6,4,3,False,0.043076,True,0.000002,True,2265,0.232985,True,6,0.015527,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000001,True,3138,0.415649,True,5,0.007822,True,10,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,1821,0.148217,True,5,0.013443,True,9,0.000007,False
6,4,3,False,0.043076,True,0.000002,True,3330,0.487391,True,4,0.005088,True,8,0.000007,False
6,4,3,False,0.043076,True,0.000002,True,3574,0.574028,True,3,0.001278,True,10,0.000008,False
6,4,3,False,0.043076,True,0.000001,True,2179,0.177173,True,5,0.008147,True,11,0.000009,False
6,4,3,False,0.043076,True,0.000001,True,2719,0.324480,True,6,0.014068,True,9,0.000009,False
6,4,3,False,0.043076,True,0.000001,True,1501,0.088274,True,5,0.011136,True,9,0.000008,False
6,4,3,False,0.043076,True,0.000002,True,2050,0.166991,True,4,0.004800,True,12,0.000009,False
6,4,3,False,0.043076,True,0.000001,True,3628,0.637183,True,5,0.008528,True,8,0.000007,False
